latitude,longitude
42.89433754,-78.87430678
42.86992343,-78.81085019
42.86982538,-78.83162803
42.89968548,-78.87533961
42.9144261,-78.8383772
42.91468051,-78.80866292
42.91003583,-78.82577956
42.88471282,-78.87897628
42.92656397,-78.84384628
42.8850399,-78.8788755
42.954895,-78.876805
42.91520579,-78.80664896
42.89636953,-78.82662169
42.91107588,-78.88465088
42.95809746,-78.90774271
42.9144261,-78.8383772
42.91396012,-78.8937362
42.92250509,-78.8063393
42.87357607,-78.86193613
42.9326073,-78.80387385
42.88588315,-78.84131928
42.93393872,-78.83670261
42.913521,-78.888211
42.85525379,-78.80564962
42.8850671,-78.8722115
42.91444571,-78.82440585
42.91669333,-78.80363043
42.86436201,-78.86827249
42.869082,-78.80618418
42.9255094,-78.8009873
42.90288565,-78.81638779
42.84697889,-78.82687525
42.90661073,-78.82352658
42.92620203,-78.81004907
42.91564736,-78.84435525
42.91107215,-78.87550535
42.91188421,-78.89148183
42.890082,-78.8729169
42.88869288,-78.83640539
42.88853211,-78.8082692
42.91488,-78.81531
42.85219496,-78.82562778
42.91037851,-78.81936045
42.8897642,-78.80961705
42.86078312,-78.81242045
42.91383109,-78.80806254
42.90656944,-78.86566737
42.86272802,-78.81219777
42.90293378,-78.81015041
42.91842525,-78.80191928
42.89481174,-78.88195936
42.91400121,-78.88865948
42.912415,-78.8576783
42.88900569,-78.80461402
42.90811985,-78.82353244
42.94727434,-78.83649584
42.94214848,-78.80771734
42.92178697,-78.82227879
42.83922834,-78.85682223
42.85468024,-78.83108251
42.8825043,-78.8661919
42.89190109,-78.87209362
42.90053445,-78.86504267
42.90720526,-78.85230746
42.90851172,-78.8874825
42.91738472,-78.80079563
42.89019243,-78.87503361
42.95117,-78.86428
42.84255095,-78.81610859
42.93484765,-78.80881112
42.91317346,-78.89037257
42.89537496,-78.83587524
42.93680603,-78.80355274
42.90890772,-78.87717289
42.93682982,-78.81916269
42.90796098,-78.82076964
42.92743037,-78.85112593
42.91638265,-78.80818381
